,Stock Code,Stock Name,Industry Type,Date,Open,Close,Highest,Lowest,Volume,Turnover,Price Fluctuation,Price Change Rate,Price Change,Turnover Ratio,P/E Ratio(dynamic)
646,600007,中国国贸,房地产开发,2024-06-12,23.02,23.36,23.51,23.02,13719,33823608.00,2.12,0.86,0.20,0.14,19.52
647,600007,中国国贸,房地产开发,2024-06-13,23.44,23.49,23.60,23.20,11501,28414866.00,1.71,0.56,0.13,0.11,19.52
648,600007,中国国贸,房地产开发,2024-06-14,23.69,22.66,23.69,22.58,28390,68662060.00,4.73,-3.53,-0.83,0.28,19.52
649,600007,中国国贸,房地产开发,2024-06-17,22.50,23.02,23.09,22.50,23845,57620814.00,2.60,1.59,0.36,0.24,19.52
650,600007,中国国贸,房地产开发,2024-06-18,23.12,23.10,23.43,22.71,19976,48621085.00,3.13,0.35,0.08,0.20,19.52
651,600007,中国国贸,房地产开发,2024-06-19,23.00,22.65,23.22,22.65,15658,37851506.00,2.47,-1.95,-0.45,0.16,19.52
652,600007,中国国贸,房地产开发,2024-06-20,22.53,22.42,22.81,22.35,18184,43317509.00,2.03,-1.02,-0.23,0.18,19.52
653,600007,中国国贸,房地产开发,2024-06-21,22.29,22.44,22.83,22.21,19672,46867673.00,2.77,0.09,0.02,0.20,19.52
654,600007,中国国贸,房地产开发,2024-06-24,22.38,22.21,22.46,21.87,25991,57904068.00,2.63,-1.02,-0.23,0.26,19.52
655,600007,中国国贸,房地产开发,2024-06-25,22.15,22.71,23.06,22.11,18664,42321286.00,4.28,2.25,0.50,0.19,19.52
656,600007,中国国贸,房地产开发,2024-06-26,22.61,22.85,23.06,22.61,20913,47771541.00,1.98,0.62,0.14,0.21,19.52
657,600007,中国国贸,房地产开发,2024-06-27,22.97,22.42,22.99,22.28,17211,38832805.00,3.11,-1.88,-0.43,0.17,19.52
658,600007,中国国贸,房地产开发,2024-06-28,22.42,21.96,22.63,21.96,18869,42059871.00,2.99,-2.05,-0.46,0.19,19.52
659,600007,中国国贸,房地产开发,2024-07-01,21.86,22.82,22.99,21.86,25542,57593571.00,5.15,3.92,0.86,0.25,19.52
660,600007,中国国贸,房地产开发,2024-07-02,22.90,22.67,22.98,22.56,17399,39561895.00,1.84,-0.66,-0.15,0.17,19.52
661,600007,中国国贸,房地产开发,2024-07-03,22.75,22.91,23.20,22.74,18959,43536268.00,2.03,1.06,0.24,0.19,19.52
662,600007,中国国贸,房地产开发,2024-07-04,23.00,22.48,23.12,22.33,16962,38585113.00,3.45,-1.88,-0.43,0.17,19.52
663,600007,中国国贸,房地产开发,2024-07-05,22.34,22.36,22.69,21.98,12701,28275061.00,3.16,-0.53,-0.12,0.13,19.52
664,600007,中国国贸,房地产开发,2024-07-08,22.05,21.95,22.33,21.83,19270,42558243.00,2.24,-1.83,-0.41,0.19,19.52
665,600007,中国国贸,房地产开发,2024-07-09,21.88,22.50,22.65,21.88,16697,37205818.00,3.51,2.51,0.55,0.17,19.52
666,600007,中国国贸,房地产开发,2024-07-10,22.44,22.20,22.44,22.00,13407,29758659.00,1.96,-1.33,-0.30,0.13,19.52
667,600007,中国国贸,房地产开发,2024-07-11,22.16,22.40,22.53,22.16,9933,22230296.00,1.67,0.90,0.20,0.10,19.52
668,600007,中国国贸,房地产开发,2024-07-12,22.47,22.30,22.73,22.28,11746,26413063.00,2.01,-0.45,-0.10,0.12,19.52
669,600007,中国国贸,房地产开发,2024-07-15,22.29,22.17,22.45,22.07,15236,33901459.00,1.70,-0.58,-0.13,0.15,19.52
670,600007,中国国贸,房地产开发,2024-07-16,22.13,21.86,22.50,21.79,13346,29282739.00,3.20,-1.40,-0.31,0.13,19.52
671,600007,中国国贸,房地产开发,2024-07-17,21.86,21.95,22.09,21.66,12407,27200006.00,1.97,0.41,0.09,0.12,19.52
672,600007,中国国贸,房地产开发,2024-07-18,21.81,22.28,22.33,21.75,13986,30873378.00,2.64,1.50,0.33,0.14,19.52
673,600007,中国国贸,房地产开发,2024-07-19,22.37,21.82,22.37,21.73,13134,28737775.00,2.87,-2.06,-0.46,0.13,19.52
674,600007,中国国贸,房地产开发,2024-07-22,21.80,21.69,21.95,21.57,11946,25944779.00,1.74,-0.60,-0.13,0.12,19.52
675,600007,中国国贸,房地产开发,2024-07-23,21.74,21.35,21.76,21.35,12091,26044149.00,1.89,-1.57,-0.34,0.12,19.52
676,600007,中国国贸,房地产开发,2024-07-24,21.20,21.30,21.48,21.10,19346,41219187.00,1.78,-0.23,-0.05,0.19,19.52
677,600007,中国国贸,房地产开发,2024-07-25,21.30,21.60,21.71,21.00,19325,41596534.00,3.33,1.41,0.30,0.19,19.52
678,600007,中国国贸,房地产开发,2024-07-26,21.44,21.62,21.69,20.82,15483,33181141.00,4.03,0.09,0.02,0.15,19.52
679,600007,中国国贸,房地产开发,2024-07-29,21.42,21.29,22.00,21.08,14514,31031672.00,4.26,-1.53,-0.33,0.14,19.52
680,600007,中国国贸,房地产开发,2024-07-30,21.02,20.79,21.26,20.61,29198,61003804.00,3.05,-2.35,-0.50,0.29,19.52
681,600007,中国国贸,房地产开发,2024-07-31,20.83,21.38,21.44,20.53,26530,55872921.00,4.38,2.84,0.59,0.26,19.52
682,600007,中国国贸,房地产开发,2024-08-01,21.42,21.17,21.51,20.95,19757,41861444.00,2.62,-0.98,-0.21,0.20,19.52
683,600007,中国国贸,房地产开发,2024-08-02,21.06,21.36,21.65,21.01,16680,35746108.00,3.02,0.90,0.19,0.17,19.52
684,600007,中国国贸,房地产开发,2024-08-05,21.35,21.08,21.68,21.02,18950,40360926.00,3.09,-1.31,-0.28,0.19,19.52
685,600007,中国国贸,房地产开发,2024-08-06,21.22,21.31,21.49,20.96,14622,30974156.00,2.51,1.09,0.23,0.15,19.52
686,600007,中国国贸,房地产开发,2024-08-07,21.23,21.01,21.31,20.96,12302,25902490.00,1.64,-1.41,-0.30,0.12,19.52
687,600007,中国国贸,房地产开发,2024-08-08,20.90,21.37,21.50,20.90,14462,30747874.00,2.86,1.71,0.36,0.14,19.52
688,600007,中国国贸,房地产开发,2024-08-09,21.39,21.55,21.80,21.27,13361,28895121.00,2.48,0.84,0.18,0.13,19.52
689,600007,中国国贸,房地产开发,2024-08-12,21.45,21.57,21.73,21.32,11230,24197326.00,1.90,0.09,0.02,0.11,19.52
690,600007,中国国贸,房地产开发,2024-08-13,21.58,21.46,21.71,21.21,13765,29508301.00,2.32,-0.51,-0.11,0.14,19.52
